Date,Symbol,Open,High,Low,Close,Volume,,
12-05-2011,ULTRACEMCO,1047.5,1050,1023.35,1032.35,90671,,
13-05-2011,ULTRACEMCO,1030.05,1061,1027.1,1050.85,80415,,
16-05-2011,ULTRACEMCO,1039.95,1055,1039.95,1047.9,36657,,
17-05-2011,ULTRACEMCO,1035.05,1053.9,1032,1038.95,42787,,
18-05-2011,ULTRACEMCO,1032.1,1064,1021.95,1036.1,41315,,
19-05-2011,ULTRACEMCO,1028.05,1036.95,1023,1025.3,51044,,
20-05-2011,ULTRACEMCO,1020.15,1051,1020.15,1033.9,41927,,
23-05-2011,ULTRACEMCO,1044.95,1049,1021.5,1033.3,34231,,
24-05-2011,ULTRACEMCO,1026,1033,1024,1026.3,15316,,
25-05-2011,ULTRACEMCO,1021.55,1039.65,1013,1023.25,242741,,
26-05-2011,ULTRACEMCO,1021,1044.4,1010,1025.55,357876,,
27-05-2011,ULTRACEMCO,1020,1061,1020,1034.55,106758,,
30-05-2011,ULTRACEMCO,1048,1057,1014,1018.15,112972,,
31-05-2011,ULTRACEMCO,1037.7,1037.7,1020.2,1025.6,169380,,
01-06-2011,ULTRACEMCO,1016.15,1042,1016.15,1035.7,79530,,
02-06-2011,ULTRACEMCO,1020.05,1047,1020,1041.3,34408,,
03-06-2011,ULTRACEMCO,1043.95,1048,1023,1029.95,70745,,
06-06-2011,ULTRACEMCO,1028,1030,1011.6,1014.2,38104,,
07-06-2011,ULTRACEMCO,1013.4,1029.95,1008.3,1019.8,117461,,
08-06-2011,ULTRACEMCO,1032.55,1032.95,1010.5,1030.3,87521,,
09-06-2011,ULTRACEMCO,1021.35,1044.9,1021.35,1040.2,89448,,
10-06-2011,ULTRACEMCO,1047.3,1047.3,1007.9,1023.4,135619,,
13-06-2011,ULTRACEMCO,1025,1032,1015,1026.65,21494,,
14-06-2011,ULTRACEMCO,1024.3,1051.75,1024.3,1048.4,88721,,
15-06-2011,ULTRACEMCO,1047.95,1049,1031,1033.2,99452,,
16-06-2011,ULTRACEMCO,1029,1029,972.75,1006.95,120373,,
17-06-2011,ULTRACEMCO,1003,1017,956.05,963.85,111376,,
20-06-2011,ULTRACEMCO,965.1,970,914,945.2,234635,,
21-06-2011,ULTRACEMCO,952.95,974.8,937,967.85,54551,,
22-06-2011,ULTRACEMCO,998.65,998.65,961,972.05,34201,,
23-06-2011,ULTRACEMCO,968.95,971.85,950.55,956.95,38645,,
24-06-2011,ULTRACEMCO,951,962,951,957.7,28527,,
27-06-2011,ULTRACEMCO,951.95,964.9,949.95,961.9,33971,,
28-06-2011,ULTRACEMCO,962,964.8,953.25,961.85,48852,,
